DataSet,Study,Journal,Raptor order,Raptor family,Raptor genus,RaptorScientificName,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Riparian/Lake,Woodland/Forest/Rainforest,Orchard/Plantation Forest,Pasture (grazed land),Prairie/Grassland/Meadow,Scrub/Shrub/Heath,Urban,Agriculture,Wetland/Marsh/Floodplain,Desert,Tundra,Coastal/Beach/Island,Season of collection,"Start quarter (1:Dec-Feb, 2: Mar-May, 3: Jun-Aug, 4: Sept-Nov)",End quarter,Pellets,Prey remains,Direct observations,DNA,Stomach/Gullet contents,Photos/ Videos,Num_obs,Notes,Year,PelletNumber,PreyPerPellet,
1434,Proudfoot and Beasom 1997,The Wilson Bulletin,Strigiformes,Strigidae,Glaucidium,Glaucidium brasilianum,Ferruginous Pygmy Owl,North America,USA,26.742,-97.458,,,,,,X,,,,,,,Breeding,2,,,,,,,X,128,,1995,,,
1435,Purger and Karanovic 1991,Bioloski Vestnik,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Bosnia,44.7,16.233,,X,,,,,,,,,,,,1,,X,,,,,,423,,1990,147,2.88,
1436,Purger and Karanovic 1991,Bioloski Vestnik,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Bosnia,44.7,16.233,,X,,,,,,,,,,,,1,,X,,,,,,67,,1991,15,4.47,
1437,Purger 1990,Larus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Serbia,45.6,19.185,,,,,,,,,,,,,,1,3,X,,,,,,1019,,1989,342,2.98,
1438,Purger 1990,Larus,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Serbia,45.738,19.19,,,,,,,,,,,,,,1,3,X,,,,,,763,,1989,203,3.76,
1439,Rainey and Robinson 1954,Transactions of the Kansas Academy of Science,Strigiformes,Strigidae,Asio,Asio otus,Long-eared Owl,North America,USA,38.961,-95.364,,X,,,,,,,,,,,,2,,X,,,,,,1087,,1952,,,
1440,Ratcliffe 1963,Bird Study,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,Europe,England,53.904,-2.599,,,,,,,,,,,,,Breeding,2,3,,X,,,,,581,,1961.5,,,
1441,Ratcliffe 1963,Bird Study,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,Europe,Scotland,57.536,-4.875,,,,,,,,,,,,,Breeding,2,3,,X,,,,,450,,1961.5,,,
1442,Ratcliffe 1963,Bird Study,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,Europe,Scotland,57.66,-5.765,,,,,,,,,,,,,Breeding,2,3,,X,,,,,209,,1961.5,,,
1443,Jemison 1962,The Wilson Journal of Ornithology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,29.564,-91.849,X,,,,,,,,X,,,,,4,2,X,,,,,,1008,,1959.5,804,1.25,
1444,Rau et al 1992,Journal of Raptor Research,Strigiformes,Strigidae,Asio,Asio flammeus,Short-eared Owl,South America,Chile,-39.11,-73.11,,,,,X,,,,X,,,,,4,3,X,,,,,,72,,1987.5,46,1.57,
1445,Reed 1957,Journal of Mammology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,40.459,-105.182,,,,,,,,,,,,,,4,,X,,,,,,1018,,1953,275,3.7,
1446,Reid 1989,Thesis,Strigiformes,Strigidae,Strix,Strix nebulosa,Great Grey Owl,North America,USA,37.722,-119.66,,X,,,X,,,,,,,,,,,X,,,,,,293,,1986.5,178,1.65,
1447,Reynolds and Meslow 1984,The Auk,Accipitriformes,Acciptridae,Accipiter,Accipiter striatus,Sharp-shinned Hawk,North America,USA,45.199,-123.148,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,211,,1971.5,,,
1448,Reynolds and Meslow 1984,The Auk,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,45.199,-123.148,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,290,,1971.5,,,
1449,Reynolds and Meslow 1984,The Auk,Accipitriformes,Acciptridae,Accipiter,Accipiter striatus,Sharp-shinned Hawk,North America,USA,45.199,-123.148,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,118,,1971.5,,,
1450,Reynolds and Meslow 1984,The Auk,Accipitriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,45.199,-123.148,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,120,,1971.5,,,
1451,Reynolds and Meslow 1984,The Auk,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,43.239,-120.681,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,226,,1971.5,,,
1452,Reynolds 1970,The Murrelet,Strigiformes,Strigidae,Asio,Asio otus,Long-eared Owl,North America,USA,44.713,-123.293,,X,,,X,,,,,,,,Breeding,2,2,X,X,,,,,153,,1969,,,
1453,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.928,-6.057,,,,,,,,,,,,,Breeding,2,,X,,,,,,295,Prey per pellet averaged,2012,,3.74,
1454,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.928,-6.057,,,,,,,,,,,,,Breeding,2,,X,,,,,,499,Prey per pellet averaged,2012,,3.74,
1455,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.928,-6.057,,,,,,,,,,,,,Breeding,2,,X,,,,,,75,Prey per pellet averaged,2012,,3.74,
1456,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.928,-6.057,,,,,,,,,,,,,Breeding,2,,X,,,,,,110,Prey per pellet averaged,2012,,3.74,
1457,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.868,-6.23,,,,,,,,,,,,,Breeding,2,,X,,,,,,91,Prey per pellet averaged,2012,,3.74,
1458,Rihane et al 2015,African Science,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Africa,Morocco,34.914,-6.231,,,,,,,,,,,,,Breeding,2,,X,,,,,,208,,2012,,3.74,
1459,Ritchison and Cavanagh 1992,Journal of Raptor Research,Strigiformes,Strigidae,Megascops,Megascops asio,Eastern Screech-owl,North America,USA,37.621,-84.199,,,,,,,,,,,,,Year round,5,,X,X,,,,,671,,1985.5,,,
1460,Rocha et al 2011,Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Brazil,-9.554,-50.323,,X,,X,,,,,,,,,Breeding,4,4,X,,,,,,225,Prey per pellet averaged,2007,,1.3,
1461,Rocha et al 2011,Zoologia,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Brazil,-10.74,-49.589,,X,,X,,,,,,,,,Breeding,4,,X,,,,,,148,Prey per pellet averaged,2008,,1.3,
1462,Rodriguez 2002,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Spain,41.497,-5.746,,,,,,,,,,,,,,,,X,,,,,,6752,,1994,2108,3.2,
1463,Rojas and Stappung 2005,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco femoralis,Aplomado Falcon,South America,Chile,-38.233,-72.633,,X,,X,,,,X,,,,,,3,,X,X,,,,,73,,1997,,,
1464,Rojas and Stappung 2005,Journal of Raptor Research,Falconiformes,Falconidae,Falco,Falco femoralis,Aplomado Falcon,South America,Chile,-38.233,-72.633,,X,,X,,,,X,,,,,,4,1,X,X,,,,,42,,1997,,,
1465,Roland et al 2004,Journal of Raptor Research,Accipitriformes,Acciptridae,Circus,Circus macrosceles,Malagasy Harrier,Africa,Madagascar,-18.217,47.267,,X,X,,X,,,,,,,,Breeding,3,1,X,X,,,,,50,,1997.5,,,
1466,Romano et al 2002,Hornero,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-32.933,-60.633,,,,,,,X,,,,,,,4,1,X,,,,,,164,Prey per pellet averaged,1994,,2.71,
1467,Romano et al 2002,Hornero,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-32.933,-60.633,,,,,,,X,,,,,,,2,3,X,,,,,,71,Prey per pellet averaged,1994,,2.71,
1468,Romano et al 2002,Hornero,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-33.05,-61.15,,,,,,,,X,,,,,,4,1,X,,,,,,182,Prey per pellet averaged,1994,,2.71,
1469,Romano et al 2002,Hornero,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-33.05,-61.15,,,,,,,,X,,,,,,2,3,X,,,,,,58,Prey per pellet averaged,1994,,2.71,
1470,Romanowski et al 2013,North-Western Journal of Zoology,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Europe,Poland,52,21,,,,,,,,X,,,,,Year round,5,,X,,,,,,3090,,1996,642,4.81,
1471,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,3,3,X,,,,,,219,,1984,,,
1472,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,2,3,X,,,,,,52,,1985,,,
1473,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,3,3,X,,,,,,107,,1985,,,
1474,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,4,4,X,,,,,,37,,1985,,,
1475,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,3,3,X,,,,,,116,,1984,,,
1476,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.497,-77.39,,,,,,,,X,,,,,,3,3,X,,,,,,52,,1985,,,
1477,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.32,-77.172,,,,,,,,X,,,,,,3,3,X,,,,,,34,,1985,,,
1478,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.32,-77.172,,,,,,,,X,,,,,,4,4,X,,,,,,25,,1985,,,
1479,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.69,-77.207,,,,,,,,X,,,,,,3,3,X,,,,,,71,,1985,,,
1480,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.69,-77.207,,,,,,,,X,,,,,,4,4,X,,,,,,85,,1985,,,
1481,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.378,-77.285,,,,,,,,X,,,,,,3,3,X,,,,,,54,,1985,,,
1482,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.378,-77.285,,,,,,,,X,,,,,,4,4,X,,,,,,55,,1985,,,
1483,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.378,-77.285,,,,,,,,X,,,,,,2,3,X,,,,,,95,,1986,,,
1484,Rosenburg 1986,Thesis,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,37.32,-77.172,,,,,,,,X,,,,,,2,3,X,,,,,,58,,1986,,,
1485,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,1426,,1964,,,
1486,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,324,,1964,,,
1487,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,268,,1964,,,
1488,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,665,,1964,,,
1489,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,606,,1964,,,
1490,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,860,,1964,,,
1491,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,641,,1964,,,
1492,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,1295,,1964,,,
1493,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,357,,1964,,,
1494,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,1101,,1964,,,
1495,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,664,,1964,,,
1496,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,18,,1964,,,
1497,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,38,,1964,,,
1498,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,53,,1964,,,
1499,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,162,,1964,,,
1500,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,415,,1964,,,
1501,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,1099,,1964,,,
1502,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,176,,1964,,,
1503,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,132,,1964,,,
1504,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,204,,1964,,,
1505,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,598,,1964,,,
1506,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,217,,1964,,,
1507,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,546,,1964,,,
1508,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,725,,1964,,,
1509,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,625,,1964,,,
1510,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,907,,1964,,,
1511,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,9,,1964,,,
1512,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,2364,,1964,,,
1513,Ruprecht 1979,Acta Ornithologica,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Europe,Poland,52.883,18.677,,,,,,,,,,,,,,4,,X,,,,,,356,,1964,,,
1514,Ryder et al 1987,Book: Biology and Conservation of Northern Forest Owls,Strigiformes,Strigidae,Aegolius,Aegolius funereus,Boreal Owl,North America,USA,40.689,-105.416,,,,,,,,,,,,,,,,X,X,X,,,,72,,1982.5,,,
1515,Sahores and Trejo 2004,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-41.05,-70.992,,X,,,X,,,,,,,,,2,2,X,,,,,,259,,1998,145,1.79,
1516,Sahores and Trejo 2004,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-41.05,-70.992,,X,,,X,,,,,,,,,3,3,X,,,,,,84,,1998,57,1.48,
1517,Sahores and Trejo 2004,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-41.05,-70.992,,X,,,X,,,,,,,,,1,1,X,,,,,,32,,1998,19,1.68,
1518,Sahores and Trejo 2004,Journal of Raptor Research,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,South America,Argentina,-41.05,-70.992,,X,,,X,,,,,,,,,1,2,X,,,,,,138,,2000,213,0.65,
1519,Saufi et al 2020,Journal of Urban Ecology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Asia,Malaysia,5.358,100.294,,,,,,,X,,,,,,,3,1,X,,,,,,91,,2018,62,1.47,
1520,Saufi et al 2020,Journal of Urban Ecology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Asia,Malaysia,5.517,100.427,,,,,,,,X,,,,,Year round,5,,X,,,,,,94,,2017.5,90,1.04,
1521,Saufi et al 2020,Journal of Urban Ecology,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,Asia,Malaysia,3.778,102.517,,,X,,,,,,,,,,Year round,5,,X,,,,,,82,,2017.5,100,0.82,
1522,Schaeffer 1970,Bonner Zoologische Beitrage,Strigiformes,Strigidae,Bubo,Bubo bubo,Eurasian Eagle-owl,Europe,Sweden,66.132,17.17,,,,,,,,,,,,,Breeding,,,X,X,,,,,402,,1968,,,
1523,Schaeffer 1970,Bonner Zoologische Beitrage,Strigiformes,Strigidae,Bubo,Bubo bubo,Eurasian Eagle-owl,Europe,Sweden,66.132,17.17,,,,,,,,,,,,,Breeding,,,X,X,,,,,94,,1968,,,
1524,Schemnitz and Ables 1962,The Condor,Strigiformes,Strigidae,Bubo,Bubo virginianus,Great Horned Owl,North America,USA,36.741,-102.521,,,,,X,,,,,,,,Year round,5,,X,,,,,,205,,1955,200,1.03,
1525,Schlatter et al 1980a,The Auk,Strigiformes,Strigidae,Athene,Athene cunicularia,Burrowing Owl,South America,Chile,-33.5,-70.533,,,,,,,,,,,,,,3,2,X,,,,,,3417,Prey per pellet averaged,1973.5,,5.17,
1526,Schlatter et al 1980b,The Auk,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus melanoleucus,Black-chested Buzzard-eagle,South America,Chile,-33.5,-70.533,,,,,,,,,,,,,,3,2,X,,,,,,170,Prey per pellet averaged,1973.5,,5.17,
1527,Schlatter et al 1980b,The Auk,Accipitriformes,Acciptridae,Geranoaetus,Geranoaetus polyosoma,Variable Hawk,South America,Chile,-33.5,-70.533,,,,,,,,,,,,,,3,2,X,,,,,,391,Prey per pellet averaged,1973.5,,5.17,
1528,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo regalis,Ferruginous Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,625,,1975,,,
1529,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo regalis,Ferruginous Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,600,,1976,,,
1530,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,81,,1975,,,
1531,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,31,,1976,,,
1532,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo swainsoni,Swainson's Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,630,,1975,,,
1533,Schmutz et al 1980,Canadian Journal of Zoology,Accipitriformes,Acciptridae,Buteo,Buteo swainsoni,Swainson's Hawk,North America,Canada,51.417,-111.75,,,,,X,,,,,,,,Breeding,2,4,X,X,,,,,351,,1976,,,
1534,Schnell 1958,The Condor,Accipitriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,39.322,-120.264,,X,,,,,,,,,,,Breeding,3,,,X,X,,,,88,,1956,,,
1535,Schnell 1967,Kansas Ornithological Society Bulletin,Accipitriformes,Acciptridae,Buteo,Buteo lagopus,Rough-legged Hawk,North America,USA,41.899,-88.763,,,,,,,,,,,,,,1,2,X,,X,,,,308,,1967,,,
1536,Seidensticker 1968,The Murrelet,Strigiformes,Strigidae,Bubo,Bubo virginianus,Great Horned Owl,North America,USA,46.166,-110.806,,,,,,,,,,,,,,5,,X,,,,,,774,,1967,131,5.91,
1537,Seidensticker 1970,The Murrelet,Accipitriformes,Acciptridae,Buteo,Buteo jamaicensis,Red-tailed Hawk,North America,USA,46.168,-110.302,,,,,,,,,,,,,Breeding,2,3,X,X,,,,,261,,1967,,,
1538,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,X,,,,Breeding,3,,,X,,,,,196,,1941,,,
1539,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,27,,1942,,,
1540,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,X,,,,Breeding,3,,,X,,,,,192,,1942,,,
1541,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,X,,,,Breeding,3,,,X,,,,,75,,1942,,,
1542,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,X,,,,Breeding,3,,,X,,,,,69,,1942,,,
1543,Selleck and Glading 1943,California Fish and Game,Strigiformes,Tytonidae,Tyto,Tyto alba,Common Barn Owl,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,374,,1942,,,
1544,Selleck and Glading 1943,California Fish and Game,Accipitriformes,Acciptridae,Circus,Circus hudsonius,Northern Harrier,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,85,,1941,,,
1545,Selleck and Glading 1943,California Fish and Game,Accipitriformes,Acciptridae,Circus,Circus hudsonius,Northern Harrier,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,20,,1942,,,
1546,Selleck and Glading 1943,California Fish and Game,Accipitriformes,Acciptridae,Circus,Circus hudsonius,Northern Harrier,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,171,,1942,,,
1547,Selleck and Glading 1943,California Fish and Game,Accipitriformes,Acciptridae,Circus,Circus hudsonius,Northern Harrier,North America,USA,35.068,-120.609,,,,,,,,,,,,,Breeding,3,,,X,,,,,162,,1942,,,
1548,Shao and Liu 2008,Journal of Raptor Research,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Asia,China,37.533,105.133,,,,,,X,,,,X,,,,3,3,,X,,,,,118,,1986,,,
1549,Shao and Liu 2008,Journal of Raptor Research,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Asia,China,38.63,103.083,,,,,,X,,,,X,,,,3,4,,X,,,,,881,,1989.5,,,
1550,Shao and Liu 2008,Journal of Raptor Research,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Asia,China,38.967,100.467,,,,,,X,,,,X,,,,3,3,,X,,,,,141,,1990,,,
1551,Shao and Liu 2008,Journal of Raptor Research,Strigiformes,Strigidae,Athene,Athene noctua,Little Owl,Asia,China,40.867,95.867,,,,,,X,,,,X,,,,2,3,,X,,,,,268,,1987,,,
1552,Sherrod et al 1974,Thesis,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,USA,51.501,179.036,,,,,,,,,,,,X,Breeding,2,3,X,X,,,,,65,,1969,,,
1553,Sherrod et al 1974,Thesis,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,USA,51.501,179.036,,,,,,,,,,,,X,Breeding,2,3,X,X,,,,,50,,1970,,,
1554,Sherrod et al 1974,Thesis,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,USA,51.501,179.036,,,,,,,,,,,,X,Breeding,2,3,X,X,,,,,217,,1971,,,
1555,Sherrod et al 1974,Thesis,Accipitriformes,Acciptridae,Haliaeetus,Haliaeetus leucocephalus,Bald Eagle,North America,USA,51.501,179.036,,,,,,,,,,,,X,Breeding,2,3,X,X,,,,,261,,1972,,,
